🇨🇳河南移动,#genre#
CCTV-01频道,http://39.165.196.149:9003//hls/1/index.m3u8
CCTV-02频道,http://39.165.196.149:9003//hls/2/index.m3u8

CCTV-03频道,http://39.165.196.149:9003//hls/3/index.m3u8

CCTV-04频道,http://39.165.196.149:9003//hls/4/index.m3u8

CCTV-05频道,http://39.165.196.149:9003//hls/5/index.m3u8

CCTV-06频道,http://39.165.196.149:9003//hls/6/index.m3u8

CCTV-07频道,http://39.165.196.149:9003//hls/7/index.m3u8

CCTV-08频道,http://39.165.196.149:9003//hls/8/index.m3u8

CCTV-09频道,http://39.165.196.149:9003//hls/9/index.m3u8

CCTV-10频道,http://39.165.196.149:9003//hls/10/index.m3u8

CCTV-11频道,http://39.165.196.149:9003//hls/11/index.m3u8

CCTV-12频道,http://39.165.196.149:9003//hls/12/index.m3u8

CCTV-13频道,http://39.165.196.149:9003//hls/13/index.m3u8

CCTV-14频道,http://39.165.196.149:9003//hls/14/index.m3u8

CCTV-15频道,http://39.165.196.149:9003//hls/15/index.m3u8

CCTV-17频道,http://39.165.196.149:9003//hls/17/index.m3u8

北京卫视,http://39.165.196.149:9003//hls/27/index.m3u8
浙江卫视,https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8

浙江卫视,http://39.165.196.149:9003//hls/28/index.m3u8

湖南卫视,http://39.165.196.149:9003//hls/29/index.m3u8

山东卫视,http://39.165.196.149:9003//hls/30/index.m3u8

安徽卫视,http://39.165.196.149:9003//hls/31/index.m3u8

四川卫视,http://39.165.196.149:9003//hls/32/index.m3u8

深圳卫视,http://39.165.196.149:9003//hls/33/index.m3u8

天津卫视,http://39.165.196.149:9003//hls/34/index.m3u8

山西卫视,http://39.165.196.149:9003//hls/35/index.m3u8

河北卫视,http://39.165.196.149:9003//hls/36/index.m3u8

江苏卫视,http://39.165.196.149:9003//hls/37/index.m3u8

广东卫视,http://39.165.196.149:9003//hls/38/index.m3u8

东方卫视,http://39.165.196.149:9003//hls/39/index.m3u8

湖北卫视,http://39.165.196.149:9003//hls/40/index.m3u8

黑龙江卫视,http://39.165.196.149:9003//hls/41/index.m3u8

辽宁卫视,http://39.165.196.149:9003//hls/42/index.m3u8

吉林卫视,http://39.165.196.149:9003//hls/43/index.m3u8

重庆卫视,http://39.165.196.149:9003//hls/44/index.m3u8

云南卫视,http://39.165.196.149:9003//hls/45/index.m3u8

江西卫视,http://39.165.196.149:9003//hls/46/index.m3u8

贵州卫视,http://39.165.196.149:9003//hls/47/index.m3u8

陕西卫视,http://39.165.196.149:9003//hls/48/index.m3u8

